match_id,team1,team2,winner,toss_winner,toss_decision,bat_first,venue,date,event,is_val_2022,is_val_2024
640951,Netherlands,Sri Lanka,Sri Lanka,Netherlands,field,Sri Lanka,YMCA Cricket Club,2013-07-29,ICC Women's World Twenty20 Qualifier,False,False
640959,Ireland,Netherlands,Ireland,Netherlands,field,Ireland,YMCA Cricket Club,2013-08-01,ICC Women's World Twenty20 Qualifier,False,False
593726,England,Australia,England,England,bat,England,County Ground,2013-08-27,Women's Ashes,False,False
593727,England,Australia,England,Australia,bat,Australia,The Rose Bowl,2013-08-29,Women's Ashes,False,False
593728,England,Australia,England,England,field,Australia,Riverside Ground,2013-08-31,Women's Ashes,False,False
664293,South Africa,Bangladesh,South Africa,Bangladesh,bat,Bangladesh,Senwes Park,2013-09-14,Bangladesh Women in South Africa T20I Series,False,False
664295,South Africa,Bangladesh,South Africa,South Africa,bat,South Africa,Senwes Park,2013-09-15,Bangladesh Women in South Africa T20I Series,False,False
668515,South Africa,Sri Lanka,South Africa,South Africa,field,Sri Lanka,Senwes Park,2013-10-31,Sri Lanka Women in South Africa T20I Series,False,False
668517,South Africa,Sri Lanka,Sri Lanka,South Africa,field,Sri Lanka,Senwes Park,2013-11-02,Sri Lanka Women in South Africa T20I Series,False,False
668519,South Africa,Sri Lanka,South Africa,South Africa,field,Sri Lanka,Senwes Park,2013-11-04,Sri Lanka Women in South Africa T20I Series,False,False
698983,Pakistan,South Africa,Pakistan,Pakistan,field,South Africa,West End Park International Cricket Stadium,2014-01-19,PCB Qatar Women's 20-over Tri-Series,False,False
698985,Ireland,Pakistan,Ireland,Ireland,field,Pakistan,West End Park International Cricket Stadium,2014-01-19,PCB Qatar Women's 20-over Tri-Series,False,False
698987,Ireland,South Africa,South Africa,Ireland,field,South Africa,West End Park International Cricket Stadium,2014-01-20,PCB Qatar Women's 20-over Tri-Series,False,False
698995,Pakistan,South Africa,Pakistan,Pakistan,field,South Africa,West End Park International Cricket Stadium,2014-01-24,PCB Qatar Women's 20-over Tri-Series,False,False
666047,Australia,England,Australia,Australia,field,England,Melbourne Cricket Ground,2014-01-31,Women's Ashes,False,False
666049,Australia,England,Australia,Australia,field,England,Stadium Australia,2014-02-02,Women's Ashes,False,False
682967,Australia,New Zealand,New Zealand,Australia,field,New Zealand,Sylhet Stadium,2014-03-23,Women's World T20,False,False
682971,England,West Indies,West Indies,England,field,West Indies,Sylhet Stadium,2014-03-24,Women's World T20,False,False
682973,India,Sri Lanka,Sri Lanka,Sri Lanka,bat,Sri Lanka,Sylhet Stadium,2014-03-24,Women's World T20,False,False
682975,Ireland,New Zealand,New Zealand,New Zealand,bat,New Zealand,Sylhet Stadium,2014-03-25,Women's World T20,False,False
682979,Bangladesh,West Indies,West Indies,West Indies,bat,West Indies,Sylhet Stadium,2014-03-26,Women's World T20,False,False
682981,England,India,England,India,bat,India,Sylhet Stadium,2014-03-26,Women's World T20,False,False
682985,New Zealand,Pakistan,New Zealand,New Zealand,bat,New Zealand,Sylhet Stadium,2014-03-27,Women's World T20,False,False
682989,Sri Lanka,West Indies,West Indies,Sri Lanka,bat,Sri Lanka,Sylhet Stadium,2014-03-28,Women's World T20,False,False
682993,Australia,Pakistan,Australia,Australia,bat,Australia,Sylhet Stadium,2014-03-29,Women's World T20,False,False
682991,Ireland,South Africa,South Africa,South Africa,bat,South Africa,Sylhet Stadium,2014-03-29,Women's World T20,False,False
682997,England,Sri Lanka,England,Sri Lanka,bat,Sri Lanka,Sylhet Stadium,2014-03-30,Women's World T20,False,False
682995,Bangladesh,India,India,India,bat,India,Sylhet Stadium,2014-03-30,Women's World T20,False,False
682999,Ireland,Pakistan,Pakistan,Pakistan,bat,Pakistan,Sylhet Stadium,2014-03-31,Women's World T20,False,False
683001,New Zealand,South Africa,South Africa,New Zealand,bat,New Zealand,Sylhet Stadium,2014-03-31,Women's World T20,False,False
683005,India,West Indies,India,West Indies,bat,West Indies,Sylhet Stadium,2014-04-01,Women's World T20,False,False
683003,Bangladesh,Sri Lanka,Bangladesh,Bangladesh,bat,Bangladesh,Sylhet Stadium,2014-04-01,Women's World T20,False,False
683009,India,Pakistan,India,India,bat,India,Sylhet Stadium,2014-04-02,Women's World T20,False,False
683007,New Zealand,Sri Lanka,New Zealand,Sri Lanka,bat,Sri Lanka,Sylhet Stadium,2014-04-02,Women's World T20,False,False
718467,Bangladesh,Ireland,Bangladesh,Bangladesh,bat,Bangladesh,Sylhet Stadium,2014-04-03,Women's World T20,False,False
683011,Australia,West Indies,Australia,Australia,bat,Australia,Shere Bangla National Stadium,2014-04-03,Women's World T20,False,False
718465,Pakistan,Sri Lanka,Pakistan,Pakistan,bat,Pakistan,Sylhet Stadium,2014-04-03,Women's World T20,False,False
683013,England,South Africa,England,England,field,South Africa,Shere Bangla National Stadium,2014-04-04,Women's World T20,False,False
683015,Australia,England,Australia,Australia,field,England,Shere Bangla National Stadium,2014-04-06,Women's World T20,False,False
754793,Australia,Pakistan,Australia,Pakistan,bat,Pakistan,Kerrydale Oval,2014-08-30,Pakistan Women in Australia T20I Series,False,False
754795,Australia,Pakistan,Australia,Australia,bat,Australia,Kerrydale Oval,2014-08-31,Pakistan Women in Australia T20I Series,False,False
693433,England,South Africa,England,England,field,South Africa,County Ground,2014-09-01,South Africa Women in England T20I Series,False,False
693435,England,South Africa,England,England,bat,England,County Ground,2014-09-03,South Africa Women in England T20I Series,False,False
754797,Australia,Pakistan,Australia,Pakistan,bat,Pakistan,Kerrydale Oval,2014-09-03,Pakistan Women in Australia T20I Series,False,False
754799,Australia,Pakistan,Australia,Australia,bat,Australia,Kerrydale Oval,2014-09-05,Pakistan Women in Australia T20I Series,False,False
693437,England,South Africa,England,South Africa,field,England,Edgbaston,2014-09-07,South Africa Women in England T20I Series,False,False
778011,Bangladesh,Sri Lanka,Bangladesh,Bangladesh,bat,Bangladesh,Yeonhui Cricket Ground,2014-09-25,Asian Games Women's Cricket Competition,False,False
778015,Bangladesh,Pakistan,Pakistan,Pakistan,bat,Pakistan,Yeonhui Cricket Ground,2014-09-26,Asian Games Women's Cricket Competition,False,False
757511,Sri Lanka,South Africa,Sri Lanka,Sri Lanka,bat,Sri Lanka,Colts Cricket Club Ground,2014-10-23,South Africa Women in Sri Lanka T20I Series,False,False
757513,Sri Lanka,South Africa,South Africa,Sri Lanka,bat,Sri Lanka,Colts Cricket Club Ground,2014-10-25,South Africa Women in Sri Lanka T20I Series,False,False
757515,Sri Lanka,South Africa,South Africa,Sri Lanka,bat,Sri Lanka,Mercantile Cricket Association Ground,2014-10-26,South Africa Women in Sri Lanka T20I Series,False,False
754801,Australia,West Indies,Australia,Australia,field,West Indies,North Sydney Oval,2014-11-02,West Indies Women in Australia T20I Series,False,False
754805,Australia,West Indies,Australia,West Indies,bat,West Indies,Melbourne Cricket Ground,2014-11-07,West Indies Women in Australia T20I Series,False,False
808869,Pakistan,Sri Lanka,Pakistan,Pakistan,bat,Pakistan,Sharjah Cricket Stadium,2015-01-16,Pakistan Women v Sri Lanka Women T20I Series,False,False
808871,Pakistan,Sri Lanka,Sri Lanka,Pakistan,bat,Pakistan,Sharjah Cricket Stadium,2015-01-17,Pakistan Women v Sri Lanka Women T20I Series,False,False
828247,Pakistan,South Africa,Pakistan,Pakistan,field,South Africa,Sharjah Cricket Stadium,2015-03-19,Pakistan Women v South Africa Women T20I Series,False,False
828249,Pakistan,South Africa,Pakistan,South Africa,bat,South Africa,Sharjah Cricket Stadium,2015-03-20,Pakistan Women v South Africa Women T20I Series,False,False
828251,Pakistan,South Africa,South Africa,South Africa,field,Pakistan,Sharjah Cricket Stadium,2015-03-22,Pakistan Women v South Africa Women T20I Series,False,False
856117,Sri Lanka,West Indies,Sri Lanka,Sri Lanka,field,West Indies,R Premadasa Stadium,2015-05-23,West Indies Women tour of Sri Lanka,False,False
856119,Sri Lanka,West Indies,West Indies,Sri Lanka,bat,Sri Lanka,R Premadasa Stadium,2015-05-25,West Indies Women in Sri Lanka T20I Series,False,False
856121,Sri Lanka,West Indies,West Indies,West Indies,field,Sri Lanka,R Premadasa Stadium,2015-05-26,West Indies Women in Sri Lanka T20I Series,False,False
798615,Ireland,Australia,Australia,Ireland,field,Australia,YMCA Cricket Club,2015-08-19,Australia Women in Ireland T20I Series,False,False
798619,Ireland,Australia,Australia,Australia,bat,Australia,YMCA Cricket Club,2015-08-21,Australia Women in Ireland T20I Series,False,False
798621,Ireland,Australia,Australia,Australia,bat,Australia,YMCA Cricket Club,2015-08-22,Australia Women in Ireland T20I Series,False,False
798377,England,Australia,England,England,field,Australia,County Ground,2015-08-26,Women's Ashes,False,False
798379,England,Australia,Australia,England,field,Australia,County Ground,2015-08-28,Women's Ashes,False,False
798381,England,Australia,England,England,field,Australia,Sophia Gardens,2015-08-31,Women's Ashes,False,False
923321,Pakistan,Bangladesh,Pakistan,Pakistan,bat,Pakistan,Southend Club Cricket Stadium,2015-09-30,Bangladesh Women in Pakistan T20I Series,False,False
923323,Pakistan,Bangladesh,Pakistan,Pakistan,bat,Pakistan,Southend Club Cricket Stadium,2015-10-01,Bangladesh Women in Pakistan T20I Series,False,False
892043,West Indies,Pakistan,West Indies,West Indies,field,Pakistan,"""National Cricket Stadium, St George's""",2015-10-29,Pakistan Women in West Indies T20I Series,False,False
881725,Ireland,Netherlands,Ireland,Netherlands,bat,Netherlands,Asian Institute of Technology Ground,2015-11-28,ICC Women's World Twenty20 Qualifier,False,False
881751,Ireland,Scotland,Ireland,Ireland,field,Scotland,Terdthai Cricket Ground,2015-12-03,ICC Women's World Twenty20 Qualifier,False,False
881755,Bangladesh,Ireland,Ireland,Bangladesh,bat,Bangladesh,Terdthai Cricket Ground,2015-12-05,ICC Women's World Twenty20 Qualifier,False,False
895789,Australia,India,India,India,field,Australia,Melbourne Cricket Ground,2016-01-29,India Women in Australia T20I Series,False,False
895791,Australia,India,Australia,India,field,Australia,Sydney Cricket Ground,2016-01-31,India Women in Australia T20I Series,False,False
907381,South Africa,England,England,South Africa,field,England,Boland Park,2016-02-18,England Women in South Africa T20I Series,False,False
